Fechas;Autos_Scomafi;ACOPLADOS_FURGONES_SEMIREMOLQUES_Scomafi;CAMRURALES_BREAKS_JEEPSH4C_PUPA_Scomafi;CAMIONES_SEMITRACCION_Scomafi;CASA_ROD;JEEPS;MOTOS_Scomafi;TAXIS_Scomafi;TRACTORES_MAQRURALES_ACOPLPRURAL_Scomafi;TTEPASAJEROSMas8ASIENTOS_H5000_Scomafi;TTEPASAJEROSMas8ASIENTOS_Mas5000_Scomafi
1/7/2014;279770;20012;38311;26328;10442;74669;30201;1381;42412;858;101
1/8/2014;280539;19885;38400;26229;10518;74891;30313;1379;41339;885;103
1/9/2014;281125;19811;38425;26108;10588;75134;30625;1433;40183;886;106
1/10/2014;282079;19552;38639;26010;10828;75391;31240;1442;40134;903;103
1/11/2014;281279;19671;38534;26088;11073;75337;31319;1460;41865;894;101
1/12/2014;282779;19598;38472;26023;11662;75457;31749;1514;42331;883;104
1/1/2015;285765;19524;38720;26072;12480;75916;32236;1559;41351;891;102
1/2/2015;287289;19546;38951;26074;12590;76113;32863;1563;40906;897;101
1/3/2015;287370;19940;38934;26475;12314;76263;33327;1539;43082;912;103
1/4/2015;287469;20318;39050;26746;11983;76533;33846;1410;45076;922;106
1/5/2015;287466;20327;39099;26716;11726;76599;34604;1332;44381;921;106
1/6/2015;288597;20263;39190;26705;11603;76804;35401;1309;43074;911;108
1/7/2015;290546;20210;39388;26517;11607;77135;35380;1395;41666;929;103
1/8/2015;291823;20130;39479;26455;11581;77342;34886;1408;40107;945;103
1/9/2015;292851;20158;39754;26473;11720;77716;34864;1476;39370;944;109
1/10/2015;293874;20196;39784;26574;11929;78169;34815;1494;39683;962;105
1/11/2015;294448;20098;39924;26474;12071;78427;34636;1519;40713;977;104
1/12/2015;296118;20156;40020;26711;12625;78774;35066;1552;41933;999;103
1/1/2016;298531;20195;40253;26898;13337;79522;35965;1551;41539;999;103
1/2/2016;298552;20233;40172;26872;13387;79589;36600;1539;40749;997;105
1/3/2016;298336;20503;40139;27128;13132;79702;34710;1511;43762;1002;101
1/4/2016;298204;20845;40325;27460;12728;80050;34331;1394;45312;1003;103
1/5/2016;297245;20982;40434;27431;12418;80083;33725;1250;45258;980;103
1/6/2016;297293;21114;40604;27598;12323;80329;33153;1258;44250;1010;102
1/7/2016;301479;21437;41249;27847;12589;81271;32894;1385;43397;1035;101
1/8/2016;303597;21588;41874;28027;12656;81906;33338;1390;42164;1044;99
1/9/2016;306824;21775;42483;28374;12883;82866;34179;1414;41359;1051;98
1/10/2016;312150;22181;43925;29003;13172;84502;35018;1642;41875;1046;95
1/11/2016;313050;22287;44596;29267;13377;84977;35789;1695;43188;1026;78
1/12/2016;317796;22402;45750;29780;13867;86832;36556;1808;45445;1011;77
1/1/2017;323308;22628;47058;30260;14701;88067;38069;1899;44484;1016;72
1/2/2017;325013;23045;47952;30692;14716;88467;38757;1896;44049;1029;73
1/3/2017;328879;23782;49083;31419;14636;89482;39520;1831;46983;1056;77
1/4/2017;330116;24767;50088;32150;14494;90156;40113;1786;49410;1073;80
1/5/2017;332210;25088;50982;32484;14274;91005;40162;1664;49203;1098;85
1/6/2017;333561;25253;51718;32902;14206;92656;40196;1675;48734;1125;78
1/7/2017;337438;25431;52773;33291;14247;93582;40491;1928;48202;1150;81
1/8/2017;340898;25604;53911;33708;14466;94398;41155;2007;47675;1186;80
1/9/2017;344321;25705;54814;33985;14673;95136;42049;2064;47352;1205;82
1/10/2017;347891;25938;55809;34439;14874;96063;43082;2155;47853;1230;84
1/11/2017;349636;25954;57064;34775;15162;96950;44112;2197;49451;1265;82
1/12/2017;353143;26108;58041;35081;15709;97941;45769;2310;50840;1279;84
