Fechas;Totales_Ccomafi;Comafi;Totales_Scomafi
1/7/2013;524046;0;524046
1/8/2013;522128;0;522128
1/9/2013;519681;0;519681
1/10/2013;520255;0;520255
1/11/2013;520769;0;520769
1/12/2013;522746;0;522746
1/1/2014;526684;0;526684
1/2/2014;528678;0;528678
1/3/2014;529473;0;529473
1/4/2014;530275;0;530275
1/5/2014;528750;0;528750
1/6/2014;525683;0;525683
1/7/2014;524485;0;524485
1/8/2014;524481;0;524481
1/9/2014;524424;0;524424
1/10/2014;526321;0;526321
1/11/2014;527621;0;527621
1/12/2014;530572;0;530572
1/1/2015;534616;0;534616
1/2/2015;536893;0;536893
1/3/2015;540259;0;540259
1/4/2015;543459;0;543459
1/5/2015;543277;0;543277
1/6/2015;543965;0;543965
1/7/2015;544876;0;544876
1/8/2015;544259;0;544259
1/9/2015;545435;0;545435
1/10/2015;547585;0;547585
1/11/2015;549391;0;549391
1/12/2015;554057;0;554057
1/1/2016;558893;0;558893
1/2/2016;558795;0;558795
1/3/2016;560026;0;560026
1/4/2016;561755;0;561755
1/5/2016;559909;0;559909
1/6/2016;559034;0;559034
1/7/2016;564684;0;564684
1/8/2016;567683;0;567683
1/9/2016;573306;0;573306
1/10/2016;584609;0;584609
1/11/2016;589330;0;589330
1/12/2016;601324;0;601324
1/1/2017;611562;0;611562
1/2/2017;615689;0;615689
1/3/2017;626748;0;626748
1/4/2017;634233;0;634233
1/5/2017;638255;0;638255
1/6/2017;645380;4.637;640743
1/7/2017;651874;4.585;647289
1/8/2017;658413;4.658;653755
1/9/2017;664726;4.680;660046
1/10/2017;672826;4.767;668059
1/11/2017;680139;4.891;675248
1/12/2017;689835;4.984;684851
1/1/2018;697246;5.040;692206
1/2/2018;701576;5.124;696452
1/3/2018;709208;5.153;704055
1/4/2018;711247;5.174;706073
1/5/2018;710719;5.451;705268
1/6/2018;703444;0;703444
1/7/2018;706257;0;706257
1/8/2018;709595;0;709595
1/9/2018;710707;0;710707
1/10/2018;716063;0;716063
1/11/2018;723232;0;723232
1/12/2018;728063;0;728063
1/1/2019;736962;0;736962
1/2/2019;742133;0;742133
1/3/2019;745245;0;745245
1/4/2019;747938;0;747938
1/5/2019;750094;0;750094
1/6/2019;755005;5.400;749605
1/7/2019;760138;5.329;754809
1/8/2019;763442;5.198;758244
1/9/2019;766850;5.098;761752
1/10/2019;776411;5.011;771400
1/11/2019;784048;4.894;779154
1/12/2019;790648;4760;785888
1/1/2020;801100;4740;796360
